                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2741,                 3.9746,                  1.722,                0.00344,                0.79744,                0.03014,                0.00959,                 1.2838,                   4.57,                 2.0781,              4.998e-05,              4.998e-05,              4.998e-05
                      2,                0.92771,                 3.5721,                 1.3075,                0.00639,                      1,                0.34749,                0.27891,                 0.6236,                 3.9894,                 1.0487,             0.00010722,             0.00010722,             0.00010722
                      3,                0.83771,                 3.1117,                 1.2302,                0.00854,                      1,                0.33852,                  0.275,                0.64771,                 3.7781,                 1.0425,              0.0001633,              0.0001633,              0.0001633
                      4,                0.77249,                 2.6329,                 1.1684,                0.00975,                      1,                0.41815,                0.35116,                 0.6413,                 3.6577,                 1.0088,             0.00021823,             0.00021823,             0.00021823
                      5,                0.73642,                 2.2543,                 1.1405,                 0.1132,                      1,                0.46065,                0.37873,                0.66882,                 3.4909,                 1.0485,               0.000272,               0.000272,               0.000272
                      6,                 0.7177,                 2.1033,                 1.1398,                      1,                0.09815,                0.62047,                0.52865,                0.63573,                 3.3893,                 1.0488,             0.00032462,             0.00032462,             0.00032462
                      7,                0.72838,                 1.8462,                 1.1839,                0.97367,                0.52528,                0.78573,                 0.6659,                0.62726,                 3.1274,                  1.021,             0.00037609,             0.00037609,             0.00037609
                      8,                0.79113,                 1.9967,                 1.1181,                0.86784,                0.66521,                0.86665,                0.74049,                0.64129,                 2.8317,                 1.0724,              0.0004264,              0.0004264,              0.0004264
                      9,                0.70769,                 1.4835,                   1.12,                0.96516,                0.70065,                0.83936,                0.73056,                0.60981,                  2.845,                 1.0716,             0.00047556,             0.00047556,             0.00047556
                     10,                0.71076,                   1.39,                  1.082,                0.81072,                0.69256,                0.81172,                0.71197,                0.56258,                 2.7419,                 1.0483,             0.00052356,             0.00052356,             0.00052356
                     11,                0.71894,                 1.3839,                 1.0871,                0.76098,                0.70546,                0.81848,                0.70977,                0.61428,                 2.3527,                 1.1011,             0.00057041,             0.00057041,             0.00057041
                     12,                0.67617,                 1.3282,                 1.1147,                0.81697,                0.90182,                0.93733,                0.80359,                0.65857,                 2.2802,                 1.1138,              0.0006161,              0.0006161,              0.0006161
                     13,                0.65631,                 1.1832,                 1.0582,                0.89817,                 0.9769,                0.96513,                0.82764,                0.65636,                 2.0982,                 1.1048,             0.00066064,             0.00066064,             0.00066064
                     14,                0.75707,                 1.2961,                 1.1364,                0.78537,                0.87481,                0.99125,                0.82436,                0.67887,                 2.3138,                 1.1098,             0.00070402,             0.00070402,             0.00070402
                     15,                0.68525,                 1.3488,                 1.1158,                0.93455,                0.95064,                0.99273,                0.86881,                0.59069,                 1.8615,                  1.038,             0.00071755,             0.00071755,             0.00071755
                     16,                0.65307,                 1.1388,                 1.0753,                0.93978,                0.99093,                0.99438,                 0.8462,                0.66054,                 1.6588,                 1.0915,             0.00071755,             0.00071755,             0.00071755
                     17,                0.66451,                  1.057,                 1.0557,                0.95333,                0.97021,                0.99438,                0.86376,                0.61932,                 1.6357,                 1.0594,              0.0007093,              0.0007093,              0.0007093
                     18,                0.68458,                 1.2296,                 1.0831,                0.85619,                0.93908,                0.98614,                0.85948,                0.61892,                 1.8747,                 1.0541,             0.00070105,             0.00070105,             0.00070105
                     19,                0.71021,                 1.2467,                  1.109,                0.96921,                0.99213,                  0.995,                0.86768,                0.60391,                 1.4539,                 1.0248,             0.00069281,             0.00069281,             0.00069281
                     20,                0.67961,                 1.0875,                 1.0704,                 0.9836,                      1,                  0.995,                0.88678,                0.58571,                 1.2528,                 1.0336,             0.00068456,             0.00068456,             0.00068456
                     21,                0.64175,                 1.0298,                  1.045,                0.96423,                      1,                  0.995,                 0.8849,                0.58662,                 1.3188,                 1.0299,             0.00067631,             0.00067631,             0.00067631
                     22,                0.63431,                 1.0905,                  1.035,                0.98333,                      1,                  0.995,                0.87617,                0.60044,                 1.3156,                 1.0305,             0.00066807,             0.00066807,             0.00066807
                     23,                 0.6883,                 1.0638,                 1.0605,                0.98891,                      1,                  0.995,                0.87269,                0.60501,                 1.2531,                 1.0368,             0.00065982,             0.00065982,             0.00065982
                     24,                0.68837,                 1.0499,                 1.0762,                0.94908,                   0.99,                  0.995,                0.86399,                0.63354,                 1.5812,                 1.0526,             0.00065157,             0.00065157,             0.00065157
                     25,                0.73367,                 1.0885,                 1.0783,                0.95449,                      1,                  0.995,                0.86879,                0.61545,                 1.5117,                 1.0312,             0.00064333,             0.00064333,             0.00064333
                     26,                0.67533,                 1.0304,                 1.0817,                0.97487,                      1,                  0.995,                 0.8689,                0.60367,                 1.2621,                  1.024,             0.00063508,             0.00063508,             0.00063508
                     27,                0.61715,                0.90915,                 1.0062,                0.97782,                      1,                  0.995,                  0.866,                0.62503,                 1.2732,                 1.0318,             0.00062683,             0.00062683,             0.00062683
